,sku_file_price,Stock Qty,special_price,act_post,nsw_m_post,nsw_r_post,nt_m_post,nt_r_post,qld_m_post,qld_r_post,remote_post,sa_m_post,sa_r_post,tas_m_post,tas_r_post,vic_m_post,vic_r_post,wa_m_post,wa_r_post,Original_SKU
3868,107.30,200.0,-1.0,11.0,10.0,13.0,30.0,39.0,15.0,21.0,34.0,10.0,21.0,11.0,14.0,5.0,11.0,23.0,37.0,GAZEBO-IR-LE-4X3-GY-AB
3869,150.50,39.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BS-86211-WB
3870,204.40,200.0,184.0,12.0,0.0,19.0,37.0,45.0,0.0,20.0,33.0,0.0,25.0,0.0,18.0,0.0,13.0,0.0,41.0,PIPE-DIY-SHELF-90
3871,134.00,200.0,120.5,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,21.0,0.0,15.0,0.0,10.0,0.0,34.0,PIPE-DIY-4LVL-HGX2-90
3872,133.90,200.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,21.0,0.0,15.0,0.0,10.0,0.0,34.0,ATB-DS-R-75-40-BK
3873,108.70,110.0,-1.0,10.0,0.0,15.0,29.0,36.0,0.0,16.0,26.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,33.0,DRESS-D-3MIR-1D-WH
3874,104.40,200.0,-1.0,9.0,0.0,14.0,27.0,33.0,0.0,15.0,24.0,0.0,19.0,0.0,14.0,0.0,9.0,0.0,31.0,DRESS-D-AVA-WH
3875,88.70,18.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FOAM-MFM-RAFA-GY
3876,172.20,71.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWAG-C-SIN-DGR
3877,136.50,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWAG-C-BIKER-DGR
3878,164.40,100.0,-1.0,9.0,0.0,14.0,27.0,33.0,0.0,15.0,24.0,0.0,19.0,0.0,14.0,0.0,9.0,0.0,31.0,SWAG-C-WING-D-DGR-FC
3879,86.10,62.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FOAM-MFM-RAFA-BAM-BK
3880,89.60,87.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FOAM-MFM-LOGI-GY
3881,314.00,41.0,-1.0,131.0,106.0,196.0,337.0,404.0,139.0,227.0,354.0,107.0,194.0,213.0,262.0,88.0,156.0,246.0,489.0,RECLINER-A10-GAME-BK-RD
